instrument,kod ISIN,Pakiet,Pakiet_PLN,udzial_pct_portf,udzial_pct_obr,punkty bazowe,Symbol,Kapitalizacja (mln),Warto�� ksi�gowa (mln),Zysk na akcj� (ttm),Stopa dyw. (%)
TRAKCJA ,PLTRKPL00014 ,35 243 000,97 975 540,32,"0,04 ",62,TRK,141.35,741.45,0.1794,3.6
TRANSPOL ,PLTRNSP00013 ,11 641 000,41 558 370,13,"0,00 ",0,TRN,82.94,110.01,0.2705,5.9
TRITON ,PLASMOT00030 ,2 531 000,6 403 430,2,"0,00 ",273,TRI,16.1,88.87,2.1083,
TSGAMES ,PLTSQGM00016 ,3 057 000,319 456 500,103,"0,25 ",55,TEN,751.11,28.31,3.6034,0.8
ULMA ,PLBAUMA00017 ,1 288 000,82 432 000,27,"0,00 ",237,ULM,349.5,309.42,9.0141,6
UNIBEP ,PLUNBEP00015 ,14 620 000,94 152 800,30,"0,00 ",143,UNI,227.26,266.84,0.8587,3
UNICREDIT ,IT0005239360 ,13 519 000,707 314 080,229,"0,00 ",0,UCG,116682.84,239781.25,7.4743,2.6
UNIMOT ,PLUNMOT00013 ,2 637 000,34 281 000,11,"0,06 ",138,UNT,105.75,174.38,,13.1
VENTUREIN ,PLVNTIN00011 ,4 475 000,5 817 500,2,"0,00 ",659,VTI,39.09,51.63,0.1912,
VIGOSYS ,PLVIGOS00015 ,442 000,133 484 000,43,"0,00 ",403,VGO,225.99,54.22,17.8698,
VINDEXUS ,PLVNDEX00013 ,4 548 000,34 564 800,11,"0,00 ",79,VIN,89.4,171.38,1.52,3.3
VISTULA ,PLVSTLA00011 ,187 055 000,820 236 175,265,"0,36 ",39,VST,1019.88,805.1,0.2284,
VIVID ,PLVVDGM00014 ,15 390 000,29 087 100,9,"0,30 ",101,VVD,50.86,14.91,,
VOTUM ,PLVOTUM00016 ,4 595 000,29 408 000,10,"0,03 ",227,VOT,78.24,40.82,0.6737,
VOXEL ,PLVOXEL00014 ,5 317 000,140 368 800,45,"0,01 ",108,VOX,281.47,134.33,2.2957,3.8
